,genesymbol
2973853,CHKB
2974143,RPL3
2994694,QARS1
3008560,RPL29
3011272,CCR9
3024589,RPSA
3032285,RFTN1
3039953,RPL32
3053855,RPL24
3107383,DVL3
3110089,PSMD2
3115541,RPL35A
3141368,FAM193A
3164169,CCNI
3198032,MGST2
3204508,MORF4L2
3249497,RPS23
3327555,HLA-DPA1
3338199,HLA-DQB1
3341651,CLIC1
3342672,RPS18
3348498,RPL10A
3353356,BRD2
3355797,AGPAT1
3358832,DDX39B
3391695,EEF1A1
3408049,CD164
3420321,BCLAF1
3462269,TAX1BP1
3513358,BUD31
3518174,COPS6
3562716,KAT6A
3607417,RPL7
3615757,PTDSS1
3621712,EIF3E
3635310,RPL8
3639535,EEF1D
3677396,HNRNPK
3683529,SEC61B
3686682,ANP32B
3704615,RPL35
3710323,RPL12
3730974,RPL7A
3737402,MT-RNR1
3754336,UBA1
3756390,PLP2
3778713,TMSB4X
3783467,NONO
3798070,RPL36A
