X,genesymbol
2848279,Cst3
2853858,Dstn
2871662,Rpn2
2908092,Rps21
2916526,Son
2926167,Cstb
2931387,Pi4ka
2959372,Josd1
2973853,Chkb
2974143,Rpl3
2994694,Qars1
3008560,Rpl29
3011272,Ccr9
3024589,Rpsa
3032285,Rftn1
3039953,Rpl32
3053855,Rpl24
3107383,Dvl3
3110089,Psmd2
3115541,Rpl35a
3141368,Fam193a
3164169,Ccni
3198032,Mgst2
3204508,Morf4l2
3249497,Rps23
3327555,Hla-Dpa1
3338199,Hla-Dqb1
3341651,Clic1
3342672,Rps18
3348498,Rpl10a
3353356,Brd2
3355797,Agpat1
3358832,Ddx39b
3391695,Eef1a1
3408049,Cd164
3420321,Bclaf1
3462269,Tax1bp1
3513358,Bud31
3518174,Cops6
3562716,Kat6a
3607417,Rpl7
3615757,Ptdss1
3621712,Eif3e
3635310,Rpl8
3639535,Eef1d
3677396,Hnrnpk
3683529,Sec61b
3686682,Anp32b
3704615,Rpl35
3710323,Rpl12
3730974,Rpl7a
3737402,Mt-Rnr1
3754336,Uba1
3756390,Plp2
3778713,Tmsb4x
3783467,Nono
3798070,Rpl36a
